"Code_Service","Motif_Bs","Num_Auto_Bc","NBEO","MT_Chiffre_BS","Date_Sortie1","Num_BS_Caisse","Benef","Heure_s","Date_Sortie","MT_Lttre_BS","SUPPRIM","Code_Rubrique","COD"
"","R?gulation","5","","250000","2022/11/24","1","DG","","24/11/2022 00:00:00","Cinq cent mille francs congolais","NON","",""
"","R?gulation","6","","40000","2022/11/25","2","FPI","","25/11/2022 00:00:00","Quatre-vingt mille francs congolais","NON","",""
