"Num_BE_Caisse","Code_Rubrique","Motif_BE","Heure_e","Code_Service","Date_Entree1","MT_Chiffre_BE","Num_Auto_BE","SUPPRIM","Date_Entree","Recu_De","MT_Lttre_BE"
"1","","PV 20","30/12/1899 14:53:00","","2022/11/24","500000","197","NON","24/11/2022 00:00:00","","Cinq cent mille francs congolais"
"2","","PV 30","30/12/1899 15:02:23","","2022/11/25","80000","198","NON","25/11/2022 00:00:00","","Quatre-vingt mille francs congolais"
