"Num_Auto_Bc","Num_BS_Caisse","Motif_Bs","MT_Chiffre_BS","MT_Lttre_BS","Date_Sortie","Date_Sortie1","Code_Service","Heure_s","Benef","Code_Rubrique","COD","SUPPRIM","NBEO"
"5","1","Régulation","250000","Cinq cent mille francs congolais","24/11/2022 00:00:00","2022/11/24","","","DG","","","NON",""
"6","2","Régulation","40000","Quatre-vingt mille francs congolais","25/11/2022 00:00:00","2022/11/25","","","FPI","","","NON",""
