"Num_Auto_Mvt","Num_Mvt","Mvt","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D","MT_Lttre_Mvt","Motif_Mvt","Date_Mvt","Date_Mvt1","Code_Service","Service_Mvt","Solde_Av_Mvt","Solde_Av_Mvt1","Solde_Ap_Mvt","Solde_Ap_Mvt1","Heure_Mvt","Benef_Mvt","Code_Rubrique","Rubrique_Mvt","REP"
"5","","Report","0","0","","","06/04/2022 00:00:00","2022/04/06","","","0","","0","","","","","","4400000"
"6","","Report","0","0","","","07/04/2022 00:00:00","2022/04/07","","","0","","0","","","","","","4400000"
