"Num_Auto_BE","Num_BE_Caisse","Motif_BE","MT_Chiffre_BE","MT_Lttre_BE","Date_Entree","Date_Entree1","Code_Service","Heure_e","Recu_De","Code_Rubrique","SUPPRIM"
"197","1","PV 20","500000","Cinq cent mille francs congolais","24/11/2022 00:00:00","2022/11/24","","30/12/1899 14:53:00","","","NON"
"198","2","PV 30","80000","Quatre-vingt mille francs congolais","25/11/2022 00:00:00","2022/11/25","","30/12/1899 15:02:23","","","NON"
