"DAT","MT","CODE_SERVICE"
"29/11/2023","272572403",""
"30/11/2023","355573814",""
"01/12/2023","321466314",""
"04/12/2023","320946314",""
"05/12/2023","239860894",""
"08/12/2023","392009985",""
"11/12/2023","326980482",""
"12/12/2023","375709984",""
"15/12/2023","",""
"18/12/2023","371109384",""
"26/12/2023","369523884",""
