"CODE","LIBCATEG","Categorie","NUM"
"1","VENTE DES IMPRIMEES","Recettes","0"
"2","APPROVISIONNEMENT","Recettes","0"
"3","CONTENTIEUX","Recettes","0"
"4","SORTIE CAISSE","Depenses","0"
