num_bs_caisse,nbeo
"528","052"
"529","053"
"530","054"
"531","055"
"532","056"
"533","057"
"534","058"
"535","059"
"536","060"
"537","061"
"538","062"
"539","063"
"540","064"
"541","065"
"542","067"
"543","069"
"544","070"
"545","071"
"546","073"
"547","074"
"548","075"
"549","076"
"550","077"
"551","078"
"552","079"
"553","080"
"554","081"
"555","082"
"556","083"
"557","084"
"558","085"
"559","086"
"560","087"
"561","088"
"562","089"
"563","4090"
"564","091"
"565","092"
"566","093"
"567","094"
"568","095"
"569","096"
"570","097"
"571","098"
"572","099"
"573","100"
"574","101"
"575","103"
"576","104"
"577","105"
"578","106"
"579","107"
"580","109"
"581","110"
"582","111"
"583","112"
"584","113"
"585","114"
"586","115"
"587","116"
"588","117"
"589","118"
"590","119"
"591","120"
"592","121"
"593","122"
"594","123"
"595","124"
"596","125"
"597","126"
"598","127"
"599","128"
"600","129"
"601","130"
"602","131"
"603","132"
"604","133"
"605","134"
"606","135"
"607","136"
"608","137"
"609","138"
"610","139"
"611","140"
"612","141"
"613","142"
"614","143"
"615","144"
"616","145"
"617","146"
"618","147"
"619","148"
"620","149"
"621","150"
"622","4151"
"623","153"
"624","154"
"625","155"
"626","155"
"627","156"
"628","157"
"629","158"
"630","159"
"631","160"
"632","161"
"633","152"
"634","162"
"635","164"
"636","165"
"637","166"
"638","167"
"639","170"
"640","163"
"641","171"
"642","172"
"643","173"
"644","174"
"645","177"
"646","178"
"647","179"
"648","180"
"649","184"
"650","195"
"651","197"
"652","181"
"653","168"
"654","169"
"655","176"
"656","183"
"657","196"
"658","175"
"659","182"
"660","185"
"661","186"
"662","198"
"663","199"
"664","200"
"665","201"
"666","202"
"667","028"
"668","187"
"669","188"
"670","189"
"671","190"
"672","191"
"673","192"
"674","204"
"675","193"
"676","205"
"677","206"
"678","207"
"679","203"
"680","208"
"681","210"
"682","211"
"683","212"
"684","209"
"685","213"
"686","214"
"687","215"
"688","216"
"689","451"
"690","452"
"691","453"
"692","454"
"693","455"
"694","456"
"695","457"
"696","458"
"697","459"
"698","460"
"699","461"
"700","462"
"701","463"
"702","464"
"703","465"
"704","465"
"705","466"
"706","467"
"707","468"
"708","469"
"709","470"
"710","471"
"711","472"
"712","473"
"713","474"
"714","475"
"715","476"
"716","477"
"717","478"
"718","479"
"719","480"
"720","481"
"721","482"
"722","483"
"723","484"
"724","485"
"725","486"
"726","487"
"727","488"
"728","489"
"729","490"
"730","491"
"731","492"
"732","493"
"733","494"
"734","495"
"735","496"
"736","497"
"737","498"
"738","499"
"739","500"
"740","1001"
"741","1002"
"742","1003"
"743","1003"
"744","1003"
"745","1004"
"746","1005"
"747","1006"
"748","1007"
"749","050"
"750","1008"
"751","1009"
"752","1010"
"753","1011"
"754","1012"
"755","1013"
"756","1014"
"757","1015"
"758","1016"
"759","1017"
"760","1018"
"761","1019"
"762","1020"
"763","1021"
"764","1022"
"765","1023"
"766","1024"
"767","1025"
"768","1026"
"769","1027"
"770","1028"
"771","1029"
"772","1030"
"773","1031"
"774","1032"
"775","1033"
"776","1034"
"777","1035"
"778","1036"
"779","1037"
"780","449"
"781","448"
"782","1038"
"783","1039"
"784","1040"
"785","1041"
"786","1042"
"787","1043"
"788","1044"
"789","1045"
"790","1046"
"791","1047"
"792","1048"
"793","1049"
"794","1050"
"795","547"
"796","4048"
"797","1051"
"798","1052"
"799","1053"
"800","1054"
"801","1055"
"802","1056"
"803","1057"
"804","1058"
"805","1059"
"806","1060"
"807","1061"
"808","1062"
"809","1063"
"810","1064"
"811","1065"
"812","1066"
"813","1067"
"814","1068"
"815","1069"
"816","1070"
"817","1071"
"818","1072"
"819","1073"
"820","1074"
"821","1075"
"822","1076"
"823","1077"
"824","1078"
"825","1079"
"826","1080"
"827","1081"
"828","1082"
"829","1083"
"830","1084"
"831","1085"
"832","1086"
"833","1087"
"834","1089"
"835","1090"
"836","1091"
"837","1092"
"838","1093"
"839","1094"
"840","1095"
"841","1096"
"842","1097"
"843","1098"
"844","1099"
"845","1100"
"846","1101"
"847","1103"
"848","1104"
"849","1105"
"850","1106"
"851","1107"
"852","1108"
"853","1109"
"854","1110"
"855","1111"
"856","1112"
"857","1113"
"858","1114"
"859","1115"
"860","1116"
"861","1117"
"862","1118"
"863","1119"
"864","1121"
"865","1122"
"866","1123"
"867","1124"
"868","1125"
"869","1126"
"870","1127"
"871","1128"
"872","1129"
"873","1130"
"874","1131"
"875","1132"
"876","1133"
"877","1134"
"878","1135"
"879","1136"
"880","1137"
"881","1138"
"882","1139"
"883","1140"
"884","1141"
"885","1142"
"886","1143"
"887","1144"
"888","1145"
"889","1146"
"937","1194"
"938","1195"
"939","1196"
"940","1197"
"941","1198"
"942","1199"
"943","1200"
"944","1201"
"945","1202"
"946","1203"
"947","1204"
"948","1205"
"949","1206"
"950","1207"
"951","1219"
"952","1220"
"953","1221"
"954","1222"
"955","1223"
"956","1224"
"957","1225"
"958","1226"
"959","1227"
"981","1239"
"982","1236"
"983","1208"
"984","1209"
"985","1210"
"986","1211"
"987","1212"
"988","1213"
"989","1214"
"990","1215"
"991","1216"
"992","1217"
"993","1218"
"994","1240"
"995","1241"
"996","1242"
"997","1240"
"998","1241"
"999","1242"
"1000","1243"
"1001","1244"
"1002","1245"
"1003","1246"
"1004","1247"
"1005","1248"
"1006","1249"
"1007","1250"
"1008","4219"
"1009","4220"
"1010","4221"
"1011","4222"
"1012","1237"
"1013","4223"
"1014","7001"
"1015","7002"
"1016","7003"
"1017","7004"
"1018","7005"
"1019","7006"
"1020","7007"
"1021","7008"
"1022","7009"
"1023","1226"
"1024","1226"
"1025","7011"
"1026","7013"
"1027","7014"
"1028","7015"
"1029","7016"
"1030","7017"
"1031","7018"
"1032","7019"
"1033","7021"
"1034","4049"
"1035","7022"
"1036","7023"
"1037","7024"
"1038","7025"
"1039","7026"
"1040","7028"
"1041","7028"
"1042","7029"
"1043","7030"
"1044","7031"
"1045","7032"
"1046","7034"
"1047","7035"
"1048","7036"
"1049","7037"
"1050","7039"
"1051","7040"
"1052","7041"
"1053","7042"
"1054","7043"
"1055","7044"
"1056","7045"
"1057","7046"
"1058","7047"
"1059","7048"
"1060","7049"
"1061","7050"
"1062","7151"
"1063","7152"
"1064","70153"
"1065","7154"
"1066","7155"
"1067","7156"
"1068","7157"
"1069","7158"
"1070","7059"
"1094","7183"
"1095","7184"
"1096","7185"
"1097","7186"
"1098","7187"
"1099","7188"
"1100","7189"
"1101","7190"
"1102","7191"
"1103","7192"
"1104","7193"
"1105","7194"
"1106","7196"
"1107","7197"
"1108","7198"
"1109","7199"
"1110","7200"
"1111","7188"
"1112","7201"
"1113","7202"
"1114","7203"
"1115","7204"
"1116","7205"
"1117","7206"
"1118","7207"
"1119","7208"
"1120","7209"
"1121","7210"
"1122","7211"
"1123","7212"
"1124","7213"
"1125","7214"
"1126","7215"
"1127","7216"
"1128","7217"
"1129","7218"
"1130","7219"
"1131","7220"
"1132","7221"
"1133","7223"
"1134","7224"
"1135","7225"
"1136","7226"
"1137","7228"
"1138","7229"
"1139","7230"
"1140","7231"
"890","1147"
"891","148"
"892","1149"
"893","1150"
"894","1151"
"895","1152"
"896","1153"
"897","1154"
"898","1155"
"899","1156"
"900","1157"
"901","1158"
"902","1159"
"903","1160"
"904","1161"
"905","1162"
"906","1163"
"907","1164"
"908","1165"
"909","1166"
"910","1167"
"911","1168"
"912","1169"
"913","1170"
"960","1222"
"961","1223"
"962","1224"
"963","1225"
"964","1226"
"965","1227"
"966","1227"
"967","1228"
"968","1229"
"969","1230"
"970","1231"
"971","1232"
"972","1233"
"973","1234"
"974","1235"
"975","1064"
"976","1226"
"977","1234"
"978","1226"
"979","1234"
"980","1238"
"1071","7160"
"1072","7161"
"1073","7162"
"1074","7163"
"1075","7164"
"1076","7165"
"1077","7167"
"1078","7167"
"1079","7166"
"1080","7167"
"1081","7169"
"1082","7170"
"1083","7171"
"1084","7173"
"1085","7174"
"1086","7175"
"1087","7176"
"1088","7177"
"1089","7178"
"1090","7179"
"1091","7180"
"1092","7181"
"1093","7182"
"1141","7226"
"1142","7228"
"1143","7232"
"1144","7233"
"1145","7234"
"1146","7235"
"1147","7236"
"1148","7237"
"1149","7238"
"1150","7239"
"1151","7240"
"1152","7241"
"1153","7242"
"1154","7243"
"1155","7244"
"1156","7245"
"1157","7246"
"1158","7247"
"1159","7248"
"1160","7249"
"1161","7250"
"1162","7101"
"1163","7102"
"1164","7103"
"1165","7104"
"1166","7105"
"1167","7106"
"1168","7107"
"1169","7108"
"1170","7109"
"1171","7110"
"1172","7111"
"1173","7112"
"1174","7113"
"1175","7114"
"1176","7115"
"1177","7116"
"1178","7117"
"1179","7118"
"1180","7119"
"1181","7120"
"1182","7121"
"1183","7122"
"1184","7123"
"1185","7124"
"1186","7125"
"1187","7126"
"1188","7127"
"1189","7128"
"1190","7129"
"1191","7130"
"1192","7131"
"1193","7132"
"1194","7133"
"1195","7134"
"1196","7135"
"1197","7136"
"1198","7137"
"1199","7138"
"1200","7139"
"1201","7140"
"1202","7141"
"1203","7142"
"1204","7143"
"1205","7144"
"1206","7145"
"1207","7146"
"1208","7147"
"1209","7051"
"1210","7052"
"1211","7053"
"1212","7054"
"1213","7055"
"1214","7056"
"1215","7057"
"1216","7058"
"1217","7059"
"1218","7060"
"1219","7061"
"1220","7062"
"1221","7063"
"1222","764"
"1223","7064"
"1224","7066"
"1225","7066"
"1226","7068"
"1227","7069"
"1228","7070"
"1229","7071"
"1230","7072"
"1231","7073"
"1232","7074"
"1233","7075"
"1234","7076"
"1235","7222"
"1236","7077"
"1237","7078"
"1238","7079"
"1239","7080"
"1240","7081"
"1241","7082"
"1242","7083"
"1243","7084"
"1244","7085"
"1245","7086"
"1246","7087"
"1247","7088"
"1248","7089"
"1249","7090"
"1250","7091"
"1251","7092"
"1252","7093"
"1253","7094"
"1254","7095"
"914","1171"
"915","1173"
"916","1174"
"917","1175"
"918","1176"
"919","1177"
"920","1178"
"921","1179"
"922","1180"
"923","1181"
"924","1183"
"925","1183"
"926","1184"
"927","1185"
"928","1186"
"929","1187"
"930","1188"
"931","1189"
"932","1190"
"933","1191"
"934","1186"
"935","1192"
"936","1193"
"1255","7096"
"1256","7097"
"1257","7098"
"1258","7099"
"1259","7100"
"1260","7251"
"1261","7252"
"1262","7252"
"1263","7254"
"1264","7255"
"1265","7256"
"1266","7257"
"1267","7258"
"1268","7259"
"1269","7261"
"1270","7262"
"1271","7263"
"1272","7264"
"1273","7265"
"1274","7266"
"1275","7267"
"1276","7268"
"1277","7010"
"1278","7020"
"1279","4226"
"1280","4227"
"1281","4228"
"1282","4229"
"1283","4230"
"1284","4231"
"1285","4232"
"1286","4234"
"1287","7172"
"1288","7103"
"1289","7067"
"1290","7222"
"1291","7264"
"1292","7268"
"1293","7148"
"1294","7149"
"1295","7150"
"1296","7269"
"1297","7270"
"1298","7271"
"1299","7272"
"1300","7274"
"1301","7275"
"1302","7276"
"1303","7277"
"1304","7273"
"1305","7278"
"1306","7280"
"1307","0429258"
"1308","7279"
"1309","7284"
"1310","7285"
"1311","7286"
"1312","7281"
"1313","7282"
"1314","7283"
"1315","7287"
"1316","7288"
"1317","7289"
"1318","7291"
"1319","7292"
"1320","7301"
"1321","7302"
"1322","7303"
"1323","7304"
"1324","7305"
"1325","7306"
"1326","7307"
"1327","7308"
"1328","7309"
"1329","7310"
"1330","7311"
"1331","7312"
"1332","7313"
"1333","7314"
"1334","7315"
"1335","7316"
"1336","7317"
"1337","7318"
"1338","7319"
"1339","7320"
"1340","7321"
"1341","7322"
"1342","7323"
"1343","7324"
"1344","7325"
"1345","7326"
"1346","7328"
"1347","7329"
"1348","7330"
"1349","7331"
"1350","7332"
"1351","7333"
"1352","7334"
"1353","7335"
"1354","7336"
"1355","7337"
"1356","7338"
"1357","7339"
"1358","22222"
"1359","20300"
"1360","203156"
"1361","7340"
"1362","7341"
"1363","7342"
"1364","7343"
"1365","7344"
"1366","7345"
"1367","7346"
"1368","7347"
"1369","7348"
"1370","7349"
"1371","7350"
"1372","7351"
"1373","7352"
"1374","7353"
"1375","7354"
"1376","7355"
"1377","7356"
"1378","7357"
"1379","7358"
"1380","7359"
"1381","7360"
"1382","7361"
"1383","7301"
"1384","7330"
"1385","7336"
"1386","100000"
"1387","200000"
"1388","7362"
"1389","7363"
"1390","7364"
"1391","7365"
"1392","7366"
"1393","7367"
"1394","7368"
"1395","7369"
"1396","7370"
"1397","7371"
"1398","7372"
"1399","7373"
"1400","7374"
"1401","7375"
"1402","7376"
"1403","7377"
"1404","7378"
"1405","7379"
"1406","7380"
"1407","7381"
"1408","7382"
"1409","7382"
"1410","7384"
"1411","7385"
"1412","7386"
"1413","7387"
"1414","7388"
"1415","7389"
"1416","7391"
"1417","7392"
"1418","7393"
"1419","7394"
"1420","7395"
"1421","7396"
"1422","7397"
"1423","7398"
"1424","7339"
"1425","7400"
"1426","7402"
"1427","7403"
"1428","7404"
"1429","7405"
"1430","7406"
"1431","7390"
"1432","7401"
"1433","7408"
"1434","7409"
"1435","7408"
"1436","7409"
"1437","7410"
"1438","7411"
"1439","7412"
"1440","7413"
"1441","7414"
"1442","7415"
"1443","7416"
"1444","7417"
"1445","7418"
"1446","7419"
"1447","7420"
"1448","7421"
"1449","7422"
"1450","7423"
"1451","7424"
"1452","7407"
"1453","7425"
"1454","7426"
"1455","7427"
"1456","7428"
"1457","7429"
"1458","7430"
"1459","7431"
"1460","7432"
"1461","7433"
"1462","7434"
"1463","7435"
"1464","7436"
"1465","7437"
"1466","7438"
"1467","7439"
"1468","7440"
"1492","7461"
"1493","7462"
"1494","7463"
"1495","7464"
"1496","7465"
"1497","7466"
"1498","7468"
"1499","7469"
"1500","7470"
"1501","7471"
"1502","7472"
"1503","7473"
"1504","7474"
"1505","7475"
"1506","7476"
"1507","7477"
"1508","7478"
"1509","7479"
"1510","7480"
"1511","7481"
"1512","7482"
"1513","7483"
"1514","7484"
"1515","7485"
"1516","7486"
"1517","7487"
"1518","7488"
"1519","7489"
"1520","7490"
"1521","7491"
"1522","7492"
"1523","7493"
"1524","7494"
"1525","7467"
"1526","7494"
"1527","7495"
"1528","7496"
"1529","7497"
"1530","7498"
"1531","7499"
"1532","7500"
"1533","7501"
"1534","7502"
"1535","7503"
"1536","7504"
"1537","7505"
"1538","7506"
"1539","7507"
"1540","7509"
"1541","7510"
"1542","7511"
"1543","7512"
"1544","7513"
"1545","7514"
"1546","7514"
"1547","7515"
"1548","7516"
"1549","7517"
"1550","7519"
"1551","7520"
"1552","7523"
"1553","7524"
"1554","7525"
"1555","7526"
"1556","7518"
"1557","7521"
"1558","7522"
"1559","7527"
"1560","7528"
"1561","7529"
"1562","7531"
"1563","7532"
"1564","7533"
"1565","7534"
"1566","7536"
"1567","7538"
"1568","7539"
"1569","7540"
"1570","7535"
"1571","7537"
"1572","7541"
"1573","7543"
"1574","7544"
"1575","7260"
"1576","7542"
"1577","7545"
"1578","7546"
"1579","7547"
"1580","7548"
"1581","7549"
"1582","7550"
"1583","7551"
"1584","7552"
"1585","7553"
"1586","7554"
"1587","7555"
"1588","7556"
"1589","7557"
"1590","7562"
"1591","7557"
"1592","7558"
