nbeo,code
493,604210
494,624000
495,604210
496,618120
497,668360
498,632831
499,618120
500,624000
1031,638410
1032,604130
1022,624000
1023,624000
1024,628100
1025,604300
1026,624000
1027,638410
1028,618120
1035,663841
1036,624000
1037,624000
1038,624000
1039,604130
1040,632860
1041,605200
1042,604130
483,604720
484,604710
485,604710
486,632831
487,632831
488,632831
489,632831
490,624000
1001,624000
1002,628100
1003,628100
1043,624000
1237,618120
4223,659800
1044,659800
1045,604210
1046,624000
1047,624000
1048,624000
1049,624000
1050,624000
4050,624000
4048,624000
1054,668340
1055,668340
1056,668340
1057,668360
1058,668360
1059,632831
1060,632831
1061,632831
1062,632831
1063,632831
1065,605200
1066,604720
1067,663841
1068,604130
1107,618120
1108,624000
1109,624000
1110,604130
1111,618120
1112,604130
1113,618120
1114,624000
1115,624000
1181,604210
1182,604710
1183,659800
1184,663841
1185,632840
1186,628100
1187,604720
1188,604710
1189,624000
1004,628100
1005,604130
1006,631000
1007,624000
1030,638410
1052,604130
1053,668340
1069,604710
1070,663841
1071,624000
1072,663841
1073,624000
1075,628100
1076,624000
1077,605200
1116,624000
1117,626530
1118,618120
1119,618120
1121,604130
1122,659800
1123,632840
1124,624000
1125,604710
1190,624000
1191,624000
1078,659800
1079,604300
1080,624000
1081,624000
1082,624000
1083,604130
1084,604720
1085,624000
1086,624000
1126,604720
1127,624000
1128,604720
1129,624000
1130,659800
1131,624000
1132,624000
1133,604710
1134,624000
1192,659800
1193,624000
1194,659800
1195,624000
1196,624000
1197,624000
1198,624000
1199,663841
1200,632831
1201,632831
1231,659800
1232,632831
1233,632860
1235,604720
1064,632831
1242,605200
7109,624000
7110,624000
7011,632860
7013,618120
1250,624000
4219,624000
4220,624000
4221,624000
4222,624000
7001,604210
7002,626530
7003,618120
7004,604130
7005,624000
1087,624000
1089,632860
1090,624000
1091,604710
1092,604720
1093,624000
1094,624000
1095,624000
1096,604720
1135,624000
1136,624000
1137,624000
1138,624000
1139,624000
1140,624000
1141,659800
1142,663841
1143,624000
1202,618120
1203,659800
1204,663841
1205,618120
1206,604210
1207,618120
1219,618120
1220,663841
1221,618120
1238,632831
1239,668340
1236,663841
1208,659800
1209,624000
1210,624000
1240,624000
1241,624000
1243,624000
1244,604720
1245,604710
1246,624000
1247,624000
1248,604710
